Time [s], Analyzer Name,Device, Decoded Protocol Result
5.534372780000000,I2C,0x1D,0xFB + ACK
5.534399040000000,I2C,0x1D,0xFA + ACK
5.534425300000000,I2C,0x1D,0x0E + ACK
5.534451560000000,I2C,0x1D,0xFB + ACK
5.534477820000000,I2C,0x1D,0xFA + ACK
5.534504080000000,I2C,0x1D,0x0E + ACK
5.534530360000000,I2C,0x1D,0xFB + ACK
5.534556360000000,I2C,0x1D,0xFA + ACK
5.534582620000000,I2C,0x1D,0x0E + ACK
5.534608880000000,I2C,0x1D,0xFB + ACK
5.534635140000000,I2C,0x1D,0xFA + ACK
5.534661400000000,I2C,0x1D,0x0E + ACK
5.534687680000000,I2C,0x1D,0xFB + ACK
5.534713680000000,I2C,0x1D,0xFA + ACK
5.534739940000000,I2C,0x1D,0x0E + NAK
5.534868060000000,I2C,0x18,Setup Write to [0x18] + ACK
5.534891580000000,I2C,0x18,0x2E + ACK
5.534924460000000,I2C,0x18,Setup Read to [0x18] + ACK
5.534947960000000,I2C,0x18,0x10 + NAK
6.535017820000000,I2C,0x1D,Setup Write to [0x1D] + ACK
6.535041320000000,I2C,0x1D,0x00 + ACK
6.535074460000000,I2C,0x1D,Setup Read to [0x1D] + ACK
6.535097960000000,I2C,0x1D,0x20 + NAK
6.535139840000000,I2C,0x1D,Setup Write to [0x1D] + ACK
6.535163340000000,I2C,0x1D,0x81 + ACK
6.535196220000000,I2C,0x1D,Setup Read to [0x1D] + ACK
6.535219740000000,I2C,0x1D,0xFB + ACK
6.535248740000000,I2C,0x1D,0xFA + ACK
6.535275000000000,I2C,0x1D,0x0E + ACK
6.535301260000000,I2C,0x1D,0xFB + ACK
6.535327540000000,I2C,0x1D,0xFA + ACK
6.535353800000000,I2C,0x1D,0x0E + ACK
6.535380060000000,I2C,0x1D,0xFB + ACK
6.535406060000000,I2C,0x1D,0xFA + ACK
6.535432340000000,I2C,0x1D,0x0E + ACK
6.535458600000000,I2C,0x1D,0xFB + ACK
6.535484860000000,I2C,0x1D,0xFA + ACK
6.535511120000000,I2C,0x1D,0x0E + ACK
6.535537380000000,I2C,0x1D,0xFB + ACK
6.535563640000000,I2C,0x1D,0xFA + ACK
6.535589660000000,I2C,0x1D,0x0E + ACK
6.535615920000000,I2C,0x1D,0xFB + ACK
6.535642180000000,I2C,0x1D,0xF9 + ACK
6.535668440000000,I2C,0x1D,0x0E + ACK
6.535694700000000,I2C,0x1D,0xFB + ACK
6.535720960000000,I2C,0x1D,0xFA + ACK
6.535747220000000,I2C,0x1D,0x0E + ACK
6.535773480000000,I2C,0x1D,0xFB + ACK
6.535799500000000,I2C,0x1D,0xFA + ACK
6.535825760000000,I2C,0x1D,0x0E + ACK
6.535852020000000,I2C,0x1D,0xFB + ACK
6.535878280000000,I2C,0x1D,0xFA + ACK
6.535904540000000,I2C,0x1D,0x0E + ACK
6.535930800000000,I2C,0x1D,0xFB + ACK
6.535957060000000,I2C,0x1D,0xFA + ACK
6.535983080000000,I2C,0x1D,0x0E + ACK
6.536009600000000,I2C,0x1D,0xFB + ACK
6.536035860000000,I2C,0x1D,0xFA + ACK
6.536062120000000,I2C,0x1D,0x0E + ACK
6.536095620000000,I2C,0x1D,0xFB + ACK
6.536121880000000,I2C,0x1D,0xFA + ACK
6.536148160000000,I2C,0x1D,0x0E + ACK
6.536174420000000,I2C,0x1D,0xFB + ACK
6.536200680000000,I2C,0x1D,0xFA + ACK
6.536226940000000,I2C,0x1D,0x0E + ACK
6.536253200000000,I2C,0x1D,0xFB + ACK
6.536279200000000,I2C,0x1D,0xFA + ACK
6.536305480000000,I2C,0x1D,0x0E + ACK
6.536331740000000,I2C,0x1D,0xFB + ACK
6.536358000000000,I2C,0x1D,0xFA + ACK
6.536384260000000,I2C,0x1D,0x0E + ACK
6.536410520000000,I2C,0x1D,0xFB + ACK
6.536436780000000,I2C,0x1D,0xFA + ACK
